Age,ClassName,DepartmentName,Adjectives,Nouns,Seasons
50,pants,Bottoms,"fabulous, great, ","jumpsuit, fun, flirty, time, i, nothing, ",
47,blouse,Tops,"flattering, due, adjustable, perfect, ","shirt, front, tie, length, cardigan, shirt, ",
39,knit sweater,Tops,"last, i, pale, gorgeous, little, hte, i, ","basket, hte, mintue, person, store, teh, darkler, color, i, hte, color, i, baggy, xs, msallet, size, bummer, petite, i, i, everything, i, ",
24,dress,Dresses,"little, flattering, feminine, usual, ","dress, xs, snug, bust, size, retailer, flair, style, ",
34,dress,Dresses,"sure, xs, busty, s, tight, i, fabric, ","lbs, i, s, petite, length, i, regular, retailer, cup, petite, i, party, work, tulle, underneath, ",
53,dress,Dresses,"i, savvy, past, right, dress-if, reveiws-i, lined, old, solid, periwinkle-colored, fabric, form-fitting, ","reliant, estimation, product, case, doubt, i, dress, reminiscent, retailer, quality, fabric, outer, print, tts, knee, ",
41,blouse,Tops,"glad, crazy, white, i, great, perfect, wrong, ","chance, blouse, i, i, blouse, model, i, crisp, clean, drape, wear, ",
32,warm jacket,Jackets,"super, cold, dry, good, dressier, small, great, ","flattering, cozy, coat, outfit, ",
47,dress,Dresses,"different, top, new, i, small, form, flattering, i, perfect, perfect, ","look, feel, tulle, dress, i, something, year, eve, top, dress, look, tulle, i, xsp, length, ",
55,blouse,Tops,"sure, see-through, white, careful, great, ","shirt, i, i, shirt, dress, dress, slip, slip, tie, back, vest, fall, occasion, fun, ",fall
28,sweater,Tops,"comfy, classic, quirky, hand-knit, beautiful, practical, cropped, boxy, see-through, perfect, camisole, little, warm, thin, ","sweater, look, color, fit, bit, part, style, knit, opinion, i, underneath, dress, jacket, coat, ",
46,pants,Bottoms,"second, much, right, small, loose, navy, ","look, online, person, cuter, fit, flattering, crop, cute, flare, trend, brand, chubbiness, i, collarless, blazer, ",
21,pants,Bottoms,"only, dry, ","person, downside, ",
38,sweater,Tops,"small, gorgeous, unsnapped, skinny, true, ","size, medium, mom, size, weight/warmth, i, houston, fall, winter, age-appropriate, mom, gray, photos, ", winterfall
23,thin sweater,Tops,"cute, plaid, great, ","poncho, i, check, design, sorbet, cream, turtleneck, pencil, skirt, look, fall, spring, buy, ", springfall
48,knit sweater,Tops,"local, comfortable, bad, little, dressier, small, black, ","today, retailer, picture, online, model, skirt, ruching, front, alternative, plain, tee, retailer, fit, well, ",
56,thin sweater,Tops,"perfect, warm, super, ","sweater, fall, roomy, comfy, color, ",fall
33,knit sweater,Tops,"cute, beautiful, unique, received, busty, top, small, super, adorable, ","top, embroidery, collar, bib, top, i, medium, fit, ",
41,knit sweater,Tops,"bib, favorite, small, perfect, ","tee, retailer, purchase, time, fit, s, m, ",
39,knit sweater,Tops,"soft, comfortable, unusual, asymmetrical, right-hand, visual, little, i, ","shirt, seam, front, side, garment, model, detail, picture, picture, front, seam, seam, interest, bit, cowl, neck, cowl, wardrobe, malfun, ",
61,knit sweater,Tops,"adorable, i, comfortable, feminine, great, dark, perfect, ","top, i, wash, i, medium, fit, ",
41,dress,Dresses,"beautiful, stunning, figure, small, tall, perfect, beautiful, ","dress, flattering, i, size, i, ankle, i, purchase, keyhole, back, detail, ",
28,knit sweater,Tops,"wish, i, happy, comfortable, flattering, ","sale, list, torso, pattern, front, ",
57,knit sweater,Tops,"comfortable, light, top, lovely, floral, great, white, ","shirt, spring/summer, everything, september, ",summer spring
43,knit sweater,Tops,"top, happy, ","sale, ",
40,knit sweater,Tops,"top, online, post-baby, little, i, little, large, petite, regular, perfect, give, top, soft, comfortable, go-to, ","i, size, body, wonky, xsp, i, .., i, length, retailer, i, top, season, ",
27,blouse,Tops,"short, much, uncomfortable, extra, navy, ","torso, stretch, fabric, chest, way, model, zipper, way, bottom, lack, stretch, fabric, reviewer, i, i, business, meeting, blazer, wi, ",
48,blouse,Tops,"boxy, whole, cute, fabric, super, read, same, specific, petite, weigh, ","doll, store, petite, lot, fabric, lot, picture, cute, flattering, i, size, chart, someone, size, description, size, body, type, ",
47,blouse,Tops,"small, perfect, luxurious, casual, little, long, little, tight, ","size, brand, top, feel, beautiful, drapey, ",
68,dress,Dresses,"petite, dress, overwhelming, great, vibrant, dark, classic, elegant, contemporary, stylish, glad, ","dress, hit, rt, knee, -will, bit, dress, color, hair, dress, look, i, store, salesperson, i, i, plan, spring, daughte, ", spring
33,warm jacket,Jackets,"right, dark, dark, great, i, different, other, ive, bulky, heavy, waterproof, average, winter, removable, ","rest, color, i, orange, color, i, cedar, brown, jacket, print, jacket, cute, bit, waist, tie, winter, appropriate, day, fun, option, v, ", winter
68,blouse,Tops,"last, wonderful, greenish, unique, beautiful, i, great, worn, different, great, only, petite, touch, big, ","top, antro, store, week, quality, blue, color, blouse, stretchy, camsiole, i, campole, blouse, bottom, camisole, wish, size, neckli, ",
83,knit sweater,Tops,"top, pleased, elegant, casual, overall, overall, various, .which, greenish, green, fantastic, ","online, i, cut, fabric, look, v, neckline, feel, style, top, limitless, color, brown, i, taupe, f, ",
